Stations;1;2;3;4;5;6;7;8;9;10;11;12;13;14
Chardon Lagache;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Charenton – Écoles;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Charles de Gaulle – Étoile;1;1;0;0;0;1;0;0;0;0;0;0;0;0
Charles Michels;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Charonne;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Château d'Eau;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Château de Vincennes;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Château-Landon;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Château Rouge;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Châtelet;1;0;0;1;0;0;1;0;0;0;1;0;0;0
Châtillon – Montrouge;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaussée d'Antin – La Fayette;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Chemin Vert;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Chevaleret;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cité;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cluny – La Sorbonne;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Colonel Fabien;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Commerce;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Concorde;1;0;0;0;0;0;0;1;0;0;0;1;0;0
Convention;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Corentin Cariou;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Corentin Celton;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Corvisart;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cour Saint-Émilion;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Courcelles;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Couronnes;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Créteil – L'Échat;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Créteil – Préfecture;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Créteil – Université;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Crimée;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Croix de Chavaux;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Danube;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Daumesnil;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Denfert-Rochereau;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Dugommier;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Dupleix;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Duroc;0;0;0;0;0;0;0;0;0;1;0;0;1;0
École Militaire;0;0;0;0;0;0;0;1;0;0;0;0;0;0
École Vétérinaire de Maisons-Alfort;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Edgar Quinet;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Église d'Auteuil;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Église de Pantin;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Esplanade de La Défense;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Étienne Marcel;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Europe;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Exelmans;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Faidherbe – Chaligny;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Falguière;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Félix Faure;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Filles du Calvaire;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Fort d'Aubervilliers;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Franklin D. Roosevelt;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Front Populaire;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Gabriel Péri;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Gaîté;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Gallieni;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gambetta;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Gare d'Austerlitz;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Gare de l'Est;0;0;0;1;1;0;1;0;0;0;0;0;0;0
Gare de Lyon;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Gare du Nord;0;0;0;1;1;0;0;0;0;0;0;0;0;0
George V;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Glacière;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Goncourt;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Grands Boulevards;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Guy Môquet;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Havre – Caumartin;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Hoche;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Hôtel de Ville;1;0;0;0;0;0;0;0;1;0;1;0;0;0
Invalides;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Jacques Bonsergent;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Jasmin;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Jaurès;0;1;0;0;1;0;1;0;0;0;0;0;0;0
Javel – André Citroën;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Jourdain;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Jules Joffrin;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Jussieu;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Kléber;0;0;0;0;0;1;0;0;0;0;0;0;0;0
La Chapelle;0;1;0;0;0;0;0;0;0;0;0;0;0;0
La Courneuve – 8 Mai 1945;0;0;0;0;0;0;1;0;0;0;0;0;0;0
La Défense – Grande Arche;1;0;0;0;0;0;0;0;0;0;0;0;0;0
La Fourche;0;0;0;0;0;0;0;0;0;0;0;0;1;0
La Motte-Picquet – Grenelle;0;0;0;0;0;1;0;1;0;1;0;0;0;0
La Muette;0;0;0;0;0;0;0;0;1;0;0;0;0;0
La Tour-Maubourg;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Lamarck – Caulaincourt;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Laumière;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Le Kremlin-Bicêtre;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Le Peletier;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ledru-Rollin;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Les Agnettes;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Les Gobelins;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Les Halles;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Les Sablons;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Liberté;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Liège;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Louis Blanc;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Louise Michel;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Lourmel;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Louvre – Rivoli;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mabillon;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Madeleine;0;0;0;0;0;0;0;1;0;0;0;1;0;1
Mairie d'Issy;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Mairie d'Ivry;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Mairie de Clichy;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Mairie de Montreuil;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mairie de Montrouge;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Mairie de Saint-Ouen;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Mairie des Lilas;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Maison Blanche;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Maisons-Alfort – Les Juilliottes;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Maisons-Alfort – Stade;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Malakoff – Plateau de Vanves;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Malakoff – Rue Étienne Dolet;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Malesherbes;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Maraîchers;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Marcadet – Poissonniers;0;0;0;1;0;0;0;0;0;0;0;1;0;0
Marcel Sembat;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Marx Dormoy;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Maubert-Mutualité;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Ménilmontant;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Michel Bizot;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Michel-Ange – Auteuil;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Michel-Ange – Molitor;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Mirabeau;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Miromesnil;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Monceau;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Montgallet;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Montparnasse – Bienvenüe;0;0;0;1;0;1;0;0;0;0;0;1;1;0
Mouton-Duvernet;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Nation;1;1;0;0;0;1;0;0;1;0;0;0;0;0
Nationale;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Notre-Dame-de-Lorette;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Notre-Dame-des-Champs;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Oberkampf;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Odéon;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Olympiades;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Opéra;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Ourcq;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Palais Royal – Musée du Louvre;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Parmentier;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Passy;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Pasteur;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Pelleport;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Père Lachaise;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Pereire;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pernety;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Philippe Auguste;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Picpus;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Pierre et Marie Curie;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pigalle;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Place d'Italie;0;0;0;0;1;1;1;0;0;0;0;0;0;0
Place de Clichy;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Place des Fêtes;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Place Monge;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Plaisance;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Pointe du Lac;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Poissonnière;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pont de Levallois – Bécon;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pont de Neuilly;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pont de Sèvres;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pont Marie;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pont Neuf;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Porte d'Auteuil;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Porte d'Italie;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Porte d'Ivry;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Porte d'Orléans;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Porte Dauphine;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Porte de Bagnolet;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Porte de Champerret;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Porte de Charenton;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Porte de Choisy;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Porte de Clichy;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Porte de Clignancourt;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Porte de la Chapelle;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Porte de la Villette;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Porte de Montreuil;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Porte de Pantin;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Porte de Saint-Cloud;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Porte de Saint-Ouen;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Porte de Vanves;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Porte de Versailles;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Porte de Vincennes;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Porte des Lilas;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Porte Dorée;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Porte Maillot;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pré Saint-Gervais;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pyramides;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Pyrénées;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Quai de la Gare;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Quai de la Rapée;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Quatre-Septembre;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Rambuteau;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ranelagh;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Raspail;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Réaumur – Sébastopol;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Rennes;0;0;0;0;0;0;0;0;0;0;0;1;0;0
République;0;0;1;0;1;0;0;1;1;0;0;0;0;0
Reuilly – Diderot;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Richard-Lenoir;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Richelieu – Drouot;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Riquet;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Robespierre;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rome;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Rue de la Pompe;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rue des Boulets;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rue du Bac;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Rue Saint-Maur;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Saint-Ambroise;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Saint-Augustin;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Saint-Denis – Porte de Paris;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Saint-Denis – Université;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Saint-Fargeau;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Saint-François-Xavier;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Saint-Germain-des-Prés;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Saint-Georges;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Saint-Jacques;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Saint-Lazare;0;0;1;0;0;0;0;0;0;0;0;1;1;1
Saint-Mandé;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint-Marcel;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Saint-Michel;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Saint-Paul;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Saint-Philippe du Roule;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Saint-Placide;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Saint-Sébastien – Froissart;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Saint-Sulpice;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Ségur;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Sentier;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Sèvres – Babylone;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Sèvres – Lecourbe;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Simplon;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Solférino;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Stalingrad;0;1;0;0;1;0;1;0;0;0;0;0;0;0
Strasbourg – Saint-Denis;0;0;0;1;0;0;0;1;1;0;0;0;0;0
Sully – Morland;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Télégraphe;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Temple;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Ternes;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Tolbiac;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Trinité – d'Estienne d'Orves;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Trocadéro;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Tuileries;1;0;0;0;0;0;0;0;0;0;0;0;0;0
